satisfaction,evaluation,averageMonthlyHours,yearsAtCompany,turnover
84,100,274,5,1
37,48,283,3,1
86,68,275,2,1
11,84,279,4,1
37,57,280,3,1
40,46,283,3,1
14,62,289,4,1
40,46,274,3,1
75,100,290,6,1
11,84,262,5,1
46,49,271,3,1
11,92,274,4,1
38,49,281,3,1
70,89,287,5,1
9,82,284,4,1
37,45,269,3,1
10,83,269,4,1
38,57,271,3,1
90,100,262,5,1
44,51,272,3,1
36,50,274,3,1
31,84,280,5,1
10,84,280,4,1
42,48,281,3,1
74,100,285,5,1
73,87,286,5,1
9,96,290,4,1
45,53,285,3,1
11,80,288,4,1
37,47,276,3,1
84,99,279,5,1
41,46,269,3,1
76,92,264,5,1
11,87,271,4,1
84,88,274,5,1
39,50,278,3,1
11,91,279,4,1
45,56,287,3,1
37,52,274,3,1
40,52,268,3,1
39,48,264,3,1
11,80,261,4,1
83,100,271,5,1
11,92,274,4,1
39,50,278,3,1
45,45,252,3,1
10,95,275,4,1
90,98,262,6,1
45,51,279,3,1
79,89,277,5,1
90,99,281,5,1
11,84,268,4,1
43,55,287,3,1
31,54,258,5,1
32,50,269,5,1
45,57,264,3,1
81,99,273,5,1
41,46,274,3,1
11,78,276,4,1
10,88,265,4,1
70,53,275,4,1
54,74,275,2,1
41,48,268,3,1
38,50,276,3,1
37,51,268,3,1
11,85,274,5,1
40,47,265,3,1
10,84,271,4,1
89,99,280,5,1
11,80,262,4,1
36,55,276,3,1
40,46,274,3,1
9,85,294,4,1
40,46,272,3,1
37,55,274,3,1
44,51,276,3,1
9,80,270,5,1
92,87,274,6,1
74,91,264,5,1
9,82,275,4,1
89,95,277,5,1
9,80,286,4,1
27,54,264,3,1
10,91,278,4,1
10,89,275,4,1
77,94,272,6,1
90,82,263,5,1
39,50,287,3,1
76,100,283,5,1
10,93,288,4,1
87,90,292,6,1
38,50,279,3,1
77,99,291,5,1
78,87,262,5,1
44,50,285,3,1
38,52,286,3,1
43,46,287,3,1
39,50,293,3,1
88,100,285,5,1
45,46,288,3,1
40,53,286,3,1
36,51,293,3,1
36,48,275,3,1
90,98,299,5,1
43,53,278,3,1
89,87,282,5,1
10,84,268,4,1
37,50,277,3,1
37,51,271,3,1
87,90,274,5,1
40,56,261,3,1
90,97,258,5,1
37,46,290,3,1
44,54,292,3,1
85,95,276,5,1
78,98,290,6,1
42,47,273,3,1
92,99,256,6,1
11,83,267,4,1
42,56,286,3,1
48,57,280,4,1
83,85,276,5,1
40,53,274,3,1
43,45,249,3,1
43,53,276,3,1
10,97,270,4,1
10,87,280,4,1
37,46,285,3,1
38,53,284,3,1
40,50,285,3,1
89,86,274,5,1
45,46,286,3,1
37,48,267,3,1
46,49,264,3,1
87,91,275,5,1
11,84,272,4,1
79,87,277,5,1
79,92,283,6,1
19,59,271,3,1
87,98,290,5,1
60,92,277,5,1
44,45,288,3,1
11,81,253,4,1
42,54,287,3,1
88,88,275,5,1
11,84,280,4,1
46,46,296,3,1
82,97,276,5,1
44,56,257,3,1
11,78,269,4,1
42,50,277,3,1
84,93,265,5,1
11,95,299,4,1
45,53,278,3,1
38,56,283,3,1
38,86,285,6,1
44,51,279,3,1
11,84,273,4,1
81,93,295,5,1
9,96,266,4,1
11,90,273,4,1
81,95,282,6,1
10,97,252,4,1
74,89,270,6,1
9,78,267,4,1
82,81,283,4,1
10,98,262,4,1
27,56,265,3,1
83,92,264,6,1
10,93,286,4,1
38,47,274,3,1
40,56,291,3,1
11,83,270,4,1
11,79,265,4,1
82,91,275,5,1
36,48,265,3,1
40,46,272,3,1
87,84,278,5,1
41,49,288,3,1
11,91,305,4,1
10,93,280,4,1
38,51,260,3,1
39,55,246,3,1
40,52,269,3,1
45,48,278,3,1
74,84,278,5,1
45,55,276,3,1
12,100,251,4,1
10,77,283,5,1
37,55,294,3,1
89,87,266,5,1
45,47,277,3,1
37,46,270,3,1
11,81,293,4,1
41,48,291,3,1
10,94,268,4,1
10,93,286,4,1
11,95,287,4,1
40,54,266,3,1
41,49,258,3,1
10,81,268,4,1
73,86,264,6,1
43,47,272,3,1
37,46,270,3,1
11,94,287,4,1
40,46,269,3,1
41,54,274,3,1
82,84,270,5,1
61,47,278,3,1
11,91,291,4,1
37,45,299,3,1
41,52,273,3,1
37,52,276,3,1
88,99,291,6,1
10,85,272,4,1
44,48,267,3,1
38,57,284,3,1
11,85,281,4,1
9,98,258,4,1
45,52,271,3,1
10,81,263,4,1
45,47,286,3,1
77,87,283,5,1
44,51,266,3,1
39,50,266,3,1
10,91,261,4,1
9,89,270,5,1
37,47,278,3,1
90,100,291,5,1
41,56,251,3,1
37,52,270,3,1
10,86,281,4,1
81,100,275,5,1
11,80,283,4,1
11,84,269,4,1
40,46,278,3,1
9,80,282,5,1
48,93,282,6,1
91,91,267,6,1
43,57,262,3,1
33,88,281,5,1
41,57,270,3,1
41,55,259,3,1
37,54,290,3,1
31,62,278,5,1
9,91,263,4,1
10,87,285,4,1
76,90,263,5,1
41,54,268,3,1
72,96,285,5,1
40,50,276,3,1
91,87,274,5,1
10,83,273,4,1
40,56,284,3,1
82,86,263,5,1
10,82,271,4,1
37,45,278,3,1
36,51,276,3,1
39,48,287,3,1
36,57,268,3,1
86,84,273,5,1
73,99,278,5,1
56,71,277,2,1
44,56,282,3,1
31,56,280,2,1
77,93,301,5,1
44,45,268,3,1
38,46,266,3,1
45,48,283,3,1
38,51,255,3,1
36,48,290,3,1
75,90,269,5,1
10,93,282,4,1
10,97,284,4,1
45,50,272,3,1
42,57,281,3,1
78,100,289,5,1
45,55,269,3,1
84,100,285,5,1
11,93,256,4,1
42,56,290,3,1
45,46,283,3,1
46,57,282,3,1
9,79,274,5,1
87,83,272,6,1
10,87,282,4,1
91,100,278,6,1
76,92,270,5,1
74,100,280,5,1
92,93,281,5,1
76,87,269,5,1
47,50,265,4,1
73,99,272,5,1
9,94,281,4,1
91,92,280,5,1
82,98,272,5,1
28,45,272,4,1
84,99,279,6,1
45,53,290,3,1
45,54,286,3,1
91,97,284,5,1
42,48,272,3,1
82,100,269,6,1
11,90,290,4,1
42,53,268,4,1
82,85,273,5,1
9,96,277,4,1
10,94,279,4,1
86,100,274,5,1
40,46,264,3,1
45,46,259,3,1
42,51,284,3,1
74,92,281,5,1
55,60,279,4,1
37,45,276,3,1
41,52,299,3,1
89,65,304,6,1
41,57,289,3,1
44,51,284,3,1
87,84,267,6,1
10,84,263,4,1
41,47,278,3,1
11,85,271,4,1
43,53,256,3,1
77,90,277,5,1
41,52,276,3,1
41,48,274,3,1
36,78,278,4,1
77,100,269,5,1
81,98,271,5,1
39,54,288,3,1
9,94,269,5,1
44,46,263,3,1
10,84,270,4,1
36,48,281,3,1
81,92,264,5,1
81,90,272,5,1
85,98,267,5,1
10,87,274,4,1
37,54,268,3,1
9,97,269,4,1
44,53,283,3,1
86,93,253,5,1
77,100,273,5,1
41,48,274,3,1
40,48,277,3,1
43,49,268,3,1
43,50,275,3,1
80,53,264,5,1
80,85,256,5,1
82,98,280,5,1
37,54,297,3,1
37,48,280,3,1
9,95,289,4,1
90,92,267,5,1
41,52,277,3,1
10,85,258,4,1
44,53,281,3,1
89,85,259,5,1
42,56,288,3,1
87,100,265,5,1
45,57,268,3,1
11,87,293,4,1
9,79,282,4,1
76,83,259,5,1
11,96,255,5,1
37,49,263,3,1
10,79,277,4,1
77,87,272,6,1
42,54,259,3,1
38,52,282,3,1
32,95,282,2,1
38,49,256,3,1
19,100,275,4,1
10,83,276,4,1
76,88,277,4,1
53,56,286,6,1
39,51,280,3,1
11,83,283,4,1
10,94,280,4,1
84,100,270,5,1
82,99,281,6,1
10,82,274,4,1
59,49,269,4,1
44,48,295,3,1
89,95,282,5,1
91,84,267,5,1
66,57,272,5,1
11,87,262,5,1
43,51,269,3,1
78,83,276,6,1
11,97,297,5,1
83,98,288,5,1
39,54,273,3,1
38,55,289,3,1
37,57,264,3,1
44,48,284,3,1
53,85,288,5,1
9,96,260,4,1
11,89,288,4,1
83,96,278,5,1
88,100,282,6,1
10,89,288,4,1
9,86,292,4,1
44,54,270,3,1
39,51,261,3,1
87,94,252,5,1
74,99,274,5,1
10,95,281,4,1
74,82,280,6,1
75,99,280,5,1
41,56,274,3,1
41,45,267,3,1
9,90,280,4,1
9,80,293,5,1
39,57,275,3,1
40,56,269,3,1
37,54,282,3,1
10,84,264,4,1
43,51,280,3,1
75,85,275,6,1
37,56,285,3,1
11,85,274,4,1
45,45,291,3,1
87,100,267,5,1
11,94,282,4,1
45,54,278,3,1
81,87,276,5,1
77,91,278,5,1
89,92,273,5,1
43,49,269,3,1
78,100,265,5,1
37,47,294,3,1
37,50,288,3,1
85,82,277,5,1
41,47,284,3,1
11,96,278,4,1
75,99,292,5,1
82,85,262,5,1
79,100,261,6,1
43,53,289,3,1
10,90,293,4,1
46,48,292,3,1
43,57,266,3,1
43,55,273,3,1
11,80,254,4,1
9,86,269,4,1
37,53,285,3,1
40,57,265,3,1
10,77,276,4,1
41,53,284,3,1
79,58,272,4,1
11,79,267,4,1
10,97,280,4,1
44,51,279,3,1
25,46,286,4,1
44,52,288,3,1
73,100,269,5,1
75,97,281,6,1
36,47,256,3,1
37,49,258,3,1
39,49,260,3,1
48,78,285,2,1
57,72,293,6,1
90,96,260,5,1
39,55,283,3,1
44,51,268,3,1
81,88,263,5,1
74,87,294,5,1
44,56,274,3,1
41,56,285,3,1
40,51,274,3,1
46,57,283,3,1
80,83,297,3,1
87,90,282,5,1
39,54,279,3,1
38,55,258,3,1
66,67,275,3,1
10,80,285,4,1
37,54,260,3,1
10,77,285,4,1
9,87,287,4,1
86,84,275,5,1
11,90,284,4,1
37,46,275,3,1
11,92,298,4,1
77,98,266,6,1
84,94,285,6,1
10,84,264,4,1
83,90,287,5,1
11,79,277,4,1
86,92,285,5,1
38,56,278,3,1
11,88,265,4,1
45,49,269,3,1
10,85,275,4,1
9,95,275,4,1
39,53,266,3,1
37,47,263,3,1
81,97,282,5,1
9,90,271,4,1
10,88,286,4,1
39,49,270,3,1
83,95,291,5,1
45,57,273,3,1
43,51,279,3,1
80,75,267,2,1
10,86,265,4,1
10,55,254,4,1
36,52,271,3,1
38,50,293,3,1
78,98,272,6,1
44,49,274,3,1
41,46,279,3,1
72,85,268,6,1
46,54,290,3,1
10,90,274,4,1
34,67,264,2,1
11,89,282,5,1
38,56,301,3,1
82,92,296,5,1
39,57,273,3,1
44,53,284,3,1
43,52,277,3,1
84,83,279,5,1
43,48,275,3,1
37,52,292,3,1
74,97,262,5,1
73,97,280,5,1
37,47,272,3,1
58,62,271,3,1
40,54,271,3,1
51,83,262,4,1
46,50,272,3,1
45,54,264,3,1
46,50,263,3,1
39,45,280,3,1
9,88,261,4,1
9,77,295,4,1
37,51,270,3,1
10,89,274,4,1
77,100,288,5,1
79,86,274,5,1
43,55,280,3,1
38,53,291,3,1
77,91,278,6,1
44,50,268,3,1
39,46,277,3,1
78,89,246,6,1
10,79,269,5,1
10,77,274,4,1
75,85,288,5,1
46,62,270,3,1
91,97,254,6,1
10,92,274,4,1
72,60,274,5,1
11,95,275,4,1
11,94,269,4,1
46,57,280,3,1
37,46,283,3,1
46,50,275,3,1
43,57,278,3,1
11,82,281,4,1
73,89,267,6,1
43,47,279,3,1
86,100,279,5,1
10,83,266,4,1
40,49,255,3,1
11,87,304,4,1
86,98,285,5,1
42,100,278,3,1
79,84,273,5,1
10,96,267,4,1
9,92,275,4,1
9,82,286,4,1
87,100,285,5,1
36,49,270,3,1
42,75,263,4,1
84,86,273,5,1
10,83,270,4,1
78,71,292,5,1
35,99,273,4,1
10,81,283,4,1
11,80,297,4,1
43,48,265,3,1
38,45,267,3,1
46,54,277,3,1
89,82,273,5,1
45,50,278,3,1
44,53,289,3,1
74,54,275,3,1
45,54,272,3,1
79,93,274,5,1
79,91,286,5,1
11,87,288,4,1
42,48,283,3,1
64,90,288,2,1
40,55,270,3,1
84,98,269,5,1
73,92,252,5,1
40,51,282,3,1
36,45,265,3,1
43,47,286,3,1
11,78,268,4,1
91,100,284,6,1
80,100,286,5,1
42,49,283,3,1
31,87,275,3,1
44,47,286,3,1
38,54,270,3,1
45,56,287,3,1
43,46,276,3,1
45,46,274,3,1
43,57,272,3,1
43,49,290,3,1
9,83,278,4,1
43,47,270,3,1
79,94,281,5,1
85,58,274,2,1
38,45,282,3,1
11,92,274,4,1
83,99,265,5,1
81,91,263,5,1
42,56,279,3,1
11,87,293,4,1
11,85,275,4,1
10,89,270,4,1
50,54,292,4,1
44,49,256,3,1
11,90,272,4,1
39,52,285,3,1
11,78,273,4,1
36,50,266,3,1
43,51,274,3,1
40,50,280,3,1
86,84,286,6,1
38,49,263,3,1
46,45,293,3,1
37,57,274,3,1
43,52,274,3,1
66,93,286,5,1
37,48,262,3,1
77,92,283,5,1
38,55,293,3,1
39,54,287,3,1
41,55,277,3,1
10,90,283,4,1
9,93,275,4,1
41,47,272,3,1
39,46,288,3,1
83,99,275,5,1
9,87,277,2,1
75,81,270,5,1
44,54,264,3,1
10,84,267,5,1
42,46,270,3,1
10,83,293,4,1
10,86,297,4,1
31,77,277,3,1
42,54,275,3,1
38,50,284,3,1
39,57,258,3,1
10,97,287,5,1
11,93,278,4,1
10,92,279,4,1
11,90,283,4,1
44,65,272,4,1
91,96,263,5,1
72,100,301,5,1
36,46,275,3,1
44,57,280,3,1
85,99,290,5,1
78,93,277,5,1
39,46,264,3,1
78,81,272,2,1
10,92,284,4,1
23,99,252,4,1
11,87,291,4,1
90,83,300,5,1
91,89,268,5,1
11,79,282,4,1
43,54,270,3,1
45,49,280,3,1
11,91,280,4,1
11,93,270,4,1
43,50,279,3,1
91,97,280,6,1
43,55,275,3,1
85,82,279,6,1
10,77,275,4,1
81,95,259,5,1
36,62,261,2,1
45,54,271,3,1
86,100,288,5,1
71,100,284,5,1
11,97,278,4,1
84,93,288,5,1
9,97,252,4,1
38,49,274,3,1
15,55,268,4,1
10,92,272,4,1
80,97,275,5,1
84,97,280,5,1
11,87,249,4,1
89,79,276,2,1
45,51,259,3,1
11,93,276,4,1
74,93,292,5,1
41,50,270,3,1
44,53,286,3,1
37,56,268,3,1
11,86,268,4,1
10,93,274,4,1
70,74,285,3,1
59,100,282,5,1
38,53,273,3,1
72,95,261,5,1
73,100,275,5,1
39,48,295,3,1
89,82,274,6,1
89,100,284,5,1
11,78,268,4,1
43,56,248,3,1
9,93,267,4,1
81,90,282,6,1
37,53,278,3,1
36,56,282,3,1
11,85,265,4,1
10,85,267,4,1
66,47,286,2,1
39,47,278,3,1
44,51,286,3,1
10,84,280,4,1
79,94,287,6,1
10,81,251,4,1
54,94,265,3,1
37,47,282,3,1
37,57,268,3,1
82,89,282,5,1
45,52,269,3,1
79,90,272,5,1
42,56,288,3,1
10,85,265,4,1
11,78,265,4,1
74,100,290,5,1
10,93,278,4,1
79,100,266,5,1
43,48,281,3,1
41,47,286,3,1
39,55,294,3,1
10,94,270,4,1
82,85,283,5,1
41,46,274,3,1
42,56,282,3,1
74,88,281,6,1
38,57,283,3,1
39,56,276,3,1
87,94,276,5,1
10,90,267,4,1
78,100,277,5,1
14,73,263,5,1
11,94,285,5,1
91,94,287,5,1
49,63,269,3,1
38,47,256,3,1
82,97,289,5,1
38,88,288,4,1
89,100,259,5,1
11,79,267,4,1
37,51,284,3,1
38,50,288,3,1
78,87,280,5,1
41,51,265,3,1
41,51,275,3,1
11,83,269,4,1
11,79,292,4,1
43,57,274,3,1
75,86,282,5,1
74,99,272,5,1
85,85,269,5,1
73,92,275,5,1
10,79,293,4,1
44,56,271,3,1
30,56,268,4,1
11,77,283,4,1
84,83,281,5,1
78,94,303,6,1
43,53,276,3,1
36,55,265,3,1
43,47,274,3,1
45,46,271,3,1
76,93,283,5,1
10,78,291,4,1
9,86,278,4,1
92,100,262,5,1
92,90,291,5,1
79,98,279,5,1
43,51,273,3,1
80,95,271,5,1
44,49,278,3,1
89,87,283,6,1
48,88,289,3,1
11,82,282,4,1
38,55,287,3,1
11,85,277,4,1
82,86,270,5,1
37,45,259,3,1
40,48,270,3,1
43,47,273,3,1
44,50,278,3,1
42,56,264,3,1
11,80,271,4,1
78,87,262,5,1
46,86,273,4,1
77,91,290,6,1
83,82,262,5,1
32,58,271,5,1
90,92,266,4,1
42,52,270,3,1
10,96,286,4,1
10,91,279,4,1
44,49,278,3,1
10,95,283,4,1
11,80,277,4,1
10,89,273,4,1
39,47,277,3,1
92,92,286,5,1
43,56,271,3,1
11,89,279,4,1
81,100,280,5,1
11,85,276,4,1
87,100,267,5,1
37,46,284,3,1
39,56,261,3,1
61,86,278,4,1
11,95,260,4,1
9,90,261,5,1
36,52,281,3,1
9,94,261,4,1
41,71,284,5,1
40,46,296,3,1
10,91,279,5,1
46,53,266,3,1
39,57,265,3,1
41,50,281,3,1
10,94,270,4,1
39,51,268,3,1
73,83,256,5,1
41,45,262,3,1
37,51,286,3,1
38,50,285,3,1
80,63,279,5,1
9,85,263,4,1
85,92,289,5,1
42,54,271,3,1
41,48,269,3,1
38,46,281,3,1
72,100,285,5,1
11,74,264,5,1
37,47,281,3,1
10,81,263,4,1
36,54,305,3,1
92,94,258,5,1
11,87,282,4,1
39,56,290,3,1
11,95,277,4,1
45,45,275,3,1
44,55,269,3,1
85,97,278,6,1
43,52,269,3,1
75,86,283,5,1
11,55,276,3,1
36,50,279,3,1
10,79,279,4,1
74,89,274,5,1
40,46,275,3,1
9,77,291,4,1
76,91,279,5,1
45,57,281,3,1
84,88,253,5,1
38,45,263,3,1
38,46,292,3,1
38,54,284,3,1
86,94,286,5,1
37,46,276,3,1
37,50,277,3,1
87,100,261,5,1
11,85,296,4,1
42,50,293,3,1
43,48,275,3,1
9,80,280,4,1
54,56,279,3,1
40,47,270,3,1
36,52,270,3,1
87,90,288,5,1
75,88,270,5,1
43,53,289,3,1
43,47,280,3,1
10,87,282,4,1
11,78,286,4,1
44,53,286,3,1
39,48,266,3,1
40,55,271,3,1
92,87,279,6,1
36,47,295,3,1
86,95,269,5,1
74,87,277,5,1
80,95,283,5,1
36,48,275,3,1
42,57,280,3,1
42,47,278,3,1
40,45,283,3,1
46,53,290,3,1
9,90,282,4,1
88,89,271,5,1
10,82,267,4,1
10,97,279,4,1
11,93,271,3,1
84,88,266,5,1
42,56,274,3,1
10,86,268,4,1
10,95,270,4,1
46,54,284,3,1
9,97,278,4,1
89,100,278,5,1
82,100,275,6,1
11,89,259,4,1
81,84,284,5,1
81,94,267,6,1
77,100,272,6,1
63,94,282,2,1
40,57,277,3,1
86,100,285,6,1
37,49,267,3,1
44,50,290,3,1
74,89,285,6,1
79,100,275,5,1
9,92,277,4,1
37,48,274,3,1
9,78,281,4,1
9,84,274,4,1
10,80,279,5,1
45,56,283,3,1
40,51,282,3,1
31,95,269,5,1
70,93,286,3,1
36,48,293,3,1
34,97,282,5,1
87,83,276,5,1
11,91,271,4,1
47,81,286,3,1
43,52,282,3,1
43,47,264,3,1
45,57,258,3,1
74,100,278,5,1
10,89,289,4,1
78,87,281,5,1
90,95,278,3,1
53,95,283,4,1
45,54,294,3,1
86,83,276,5,1
74,89,267,5,1
9,79,279,4,1
80,95,287,5,1
46,53,281,3,1
86,95,277,6,1
86,95,276,5,1
90,91,271,5,1
87,88,275,6,1
83,94,269,5,1
77,83,267,5,1
77,100,264,5,1
90,86,292,5,1
73,92,273,5,1
91,90,281,5,1
36,53,278,3,1
38,54,261,3,1
44,46,277,3,1
73,100,272,5,1
89,91,265,5,1
11,77,257,4,1
10,77,275,4,1
37,46,281,3,1
38,48,272,3,1
42,48,273,3,1
44,46,270,3,1
11,83,270,4,1
9,97,282,4,1
43,47,260,3,1
38,52,276,3,1
11,89,279,4,1
37,49,293,3,1
44,57,273,3,1
72,82,287,5,1
10,91,253,4,1
73,86,286,5,1
9,82,266,4,1
44,46,281,3,1
9,82,271,4,1
10,87,290,4,1
11,86,268,4,1
42,46,271,3,1
9,85,264,4,1
72,88,282,5,1
75,97,273,5,1
44,50,286,3,1
11,91,281,4,1
38,47,277,3,1
39,57,285,3,1
10,90,275,4,1
43,52,281,3,1
39,57,264,3,1
88,87,289,6,1
10,85,275,4,1
10,89,259,4,1
11,93,277,4,1
37,47,256,3,1
37,48,276,3,1
77,87,268,4,1
91,94,270,6,1
46,51,280,3,1
11,87,299,4,1
86,91,275,5,1
87,88,264,6,1
9,92,270,5,1
42,46,275,3,1
82,83,278,5,1
46,48,266,3,1
88,100,279,6,1
10,91,267,4,1
43,45,283,3,1
37,49,263,3,1
80,95,285,5,1
83,95,273,5,1
39,57,254,3,1
77,92,273,5,1
43,46,273,3,1
79,96,291,5,1
39,55,270,3,1
10,88,263,4,1
39,53,280,3,1
11,89,285,4,1
40,51,275,3,1
42,52,283,3,1
57,85,271,2,1
11,95,281,5,1
36,73,277,2,1
11,94,273,4,1
35,80,274,2,1
78,99,287,5,1
11,93,271,4,1
10,96,295,4,1
42,54,292,3,1
43,50,281,3,1
79,84,270,5,1
45,45,280,3,1
9,91,272,4,1
11,91,281,4,1
45,49,284,3,1
11,91,281,4,1
9,80,270,4,1
78,71,278,3,1
38,50,243,3,1
82,82,254,5,1
85,89,284,5,1
45,46,277,3,1
77,89,270,5,1
39,50,283,3,1
91,90,280,5,1
11,77,271,4,1
46,45,273,3,1
43,49,268,3,1
11,96,279,4,1
10,93,272,4,1
9,80,284,4,1
36,51,260,3,1
11,89,289,4,1
9,77,280,5,1
44,51,286,3,1
73,97,266,6,1
21,58,286,5,1
80,85,282,5,1
37,55,268,3,1
79,96,275,5,1
9,80,272,4,1
75,74,257,3,1
83,100,286,5,1
10,77,270,4,1
44,55,277,3,1
42,97,284,4,1
43,56,272,3,1
9,84,279,4,1
44,53,286,3,1
81,98,279,5,1
10,79,269,4,1
10,93,264,4,1
11,83,256,4,1
9,77,282,4,1
75,83,284,5,1
38,55,288,3,1
9,87,254,4,1
74,97,262,5,1
44,56,259,3,1
76,95,288,5,1
42,56,277,3,1
75,100,265,5,1
36,52,276,3,1
75,93,278,5,1
40,46,281,3,1
75,89,267,5,1
9,84,281,4,1
39,46,279,3,1
40,48,262,3,1
39,54,287,3,1
10,85,274,5,1
42,55,272,3,1
37,52,267,3,1
11,98,253,4,1
9,88,292,4,1
41,54,270,3,1
42,49,292,3,1
40,49,272,3,1
36,47,293,3,1
74,90,260,5,1
66,100,277,5,1
38,47,261,3,1
43,51,271,3,1
43,53,280,3,1
10,85,270,5,1
82,85,275,5,1
10,77,291,4,1
10,93,282,4,1
43,49,286,3,1
9,94,277,4,1
41,54,284,3,1
10,82,280,4,1
88,92,271,5,1
43,57,274,3,1
42,50,279,3,1
85,100,266,5,1
38,49,272,3,1
39,47,288,3,1
41,48,264,3,1
88,92,267,6,1
78,96,273,5,1
45,48,277,3,1
9,95,271,4,1
44,56,286,3,1
11,84,285,4,1
36,51,278,3,1
86,98,266,5,1
10,92,281,4,1
45,53,275,3,1
42,53,276,3,1
36,55,280,3,1
45,55,286,3,1
38,57,273,3,1
11,97,269,4,1
45,46,265,3,1
87,95,267,5,1
45,53,278,3,1
10,83,287,5,1
44,54,249,3,1
78,100,268,5,1
38,56,289,3,1
85,84,285,6,1
36,48,274,3,1
75,88,271,5,1
81,81,270,5,1
40,55,253,3,1
83,83,281,5,1
41,52,260,3,1
42,57,295,3,1
9,83,276,4,1
87,81,251,5,1
43,56,285,4,1
39,51,285,3,1
10,90,275,5,1
41,52,275,3,1
72,100,267,2,1
44,55,283,3,1
38,50,280,3,1
46,52,278,3,1
40,49,268,3,1
45,45,297,3,1
89,89,270,5,1
10,97,287,4,1
46,48,270,3,1
9,78,263,4,1
45,57,287,3,1
89,98,278,6,1
62,77,287,4,1
11,93,273,4,1
44,50,266,3,1
9,94,297,4,1
56,75,281,2,1
77,89,301,5,1
39,49,271,3,1
10,92,267,4,1
72,85,284,5,1
40,52,282,3,1
11,81,273,4,1
88,100,276,5,1
37,51,282,3,1
11,96,281,4,1
40,52,265,3,1
10,86,274,4,1
62,89,258,4,1
78,86,286,5,1
37,52,276,3,1
76,82,291,5,1
42,53,276,3,1
10,77,288,4,1
42,47,276,3,1
10,96,258,4,1
10,81,290,4,1
42,47,283,3,1
9,86,278,4,1
10,80,279,4,1
11,89,274,4,1
44,53,266,3,1
87,90,289,5,1
44,46,301,3,1
41,56,275,3,1
51,79,289,3,1
89,96,281,5,1
10,96,290,4,1
90,94,293,5,1
36,55,274,3,1
44,54,297,3,1
39,57,288,3,1
38,100,278,4,1
73,95,274,6,1
10,96,286,4,1
89,83,284,4,1
87,85,250,6,1
84,89,277,5,1
11,77,270,4,1
74,100,280,5,1
79,97,258,5,1
10,92,272,4,1
83,95,269,5,1
10,79,292,4,1
45,50,286,3,1
29,48,287,4,1
46,46,292,3,1
11,83,285,5,1
75,89,281,5,1
40,50,257,3,1
37,46,271,3,1
41,52,263,3,1
10,83,277,4,1
39,52,273,3,1
40,45,265,3,1
41,52,272,3,1
11,89,279,4,1
74,99,296,5,1
42,46,288,3,1
88,88,273,5,1
37,53,275,3,1
78,81,288,5,1
46,50,274,3,1
74,100,266,6,1
11,86,277,4,1
80,87,290,6,1
37,48,266,3,1
87,92,270,6,1
90,84,262,5,1
10,88,261,4,1
43,46,277,3,1
11,91,276,4,1
40,46,275,3,1
9,93,256,4,1
40,50,282,3,1
14,70,281,3,1
40,49,289,3,1
11,79,278,4,1
72,100,275,3,1
39,57,280,3,1
